RTE_NBR,BIN_START,BIN_END,AADT_WT,URBAN,CRASH_COUNT,CRASHRATE
12.0,105.0,108.0,4665.0,0,5.0,97.88231609136335
12.0,108.0,111.0,4665.0,0,6.0,117.45877930963601
12.0,111.0,114.0,4665.0,0,4.0,78.30585287309069
12.0,114.0,117.0,5064.326666666669,0,8.0,144.26273330958162
12.0,117.0,120.0,4969.0,0,2.0,36.75757734483478
12.0,120.0,123.0,4969.0,0,2.0,36.75757734483478
12.0,123.0,126.0,4793.800000000004,0,2.0,38.10096412584669
12.0,126.0,129.0,2779.0,0,5.0,164.31126468737318
12.0,129.0,132.0,3007.229999999999,0,5.0,151.84106455648893
12.0,132.0,135.0,2817.6933333333363,0,0.0,0.0
12.0,135.0,138.0,1866.0,0,2.0,97.88231609136335
12.0,138.0,141.0,2137.1666666666674,0,5.0,213.65718064394133
12.0,141.0,144.0,1789.0,0,3.0,153.14287464489996
12.0,144.0,147.0,1789.0,0,5.0,255.23812440816658
12.0,147.0,150.0,1789.0,0,8.0,408.3809990530666
12.0,150.0,153.0,1898.7633333333335,0,3.0,144.29002178947664
12.0,153.0,156.0,1938.0,0,10.0,471.2291068794737
12.0,156.0,159.0,1938.0,0,8.0,376.983285503579
12.0,159.0,162.0,1938.0,0,2.0,94.24582137589475
12.0,162.0,165.0,1938.0,0,5.0,235.61455343973685
12.0,165.0,168.0,2129.9966666666664,0,4.0,171.5011151752826
12.0,168.0,171.0,2177.0,0,6.0,251.69738423493436
12.0,171.0,174.0,2177.0,0,1.0,41.949564039155725
12.0,174.0,177.0,2172.306666666667,0,8.0,336.32157858586703
12.0,177.0,180.0,2343.099999999999,0,6.0,233.8548100718929
12.0,180.0,183.0,2347.0,0,5.0,194.55517876702598
12.0,183.0,186.0,2991.086666666671,0,6.0,183.19268765625355
12.0,186.0,189.0,4500.0,0,4.0,81.17706747843734
12.0,189.0,192.0,9051.920000000015,0,12.0,121.067178118996
12.0,192.0,195.0,10013.0,0,4.0,36.48225343583022
12.0,195.0,198.0,11105.333333333328,0,10.0,82.23454278416561
12.0,198.0,201.0,17895.18000000001,1,7.0,35.72299392309514
12.0,201.0,204.0,19887.366666666694,1,11.0,50.51278165094729
12.0,204.0,207.0,15810.0,1,0.0,0.0
12.0,207.0,210.0,15810.0,1,0.0,0.0
12.0,210.0,213.0,15810.0,1,0.0,0.0
12.0,213.0,216.0,15810.0,1,0.0,0.0
12.0,216.0,219.0,15810.0,1,0.0,0.0
12.0,219.0,222.0,15810.0,1,0.0,0.0
12.0,222.0,225.0,15810.0,1,0.0,0.0
12.0,225.0,228.0,15810.0,1,0.0,0.0
12.0,228.0,231.0,15810.0,1,0.0,0.0
12.0,231.0,234.0,15810.0,1,0.0,0.0
12.0,234.0,237.0,15810.0,1,0.0,0.0
12.0,237.0,240.0,15810.0,1,0.0,0.0
12.0,240.0,243.0,15810.0,1,0.0,0.0
12.0,243.0,246.0,15810.0,1,0.0,0.0
12.0,246.0,249.0,15810.0,1,0.0,0.0
12.0,249.0,252.0,15810.0,1,0.0,0.0
12.0,252.0,255.0,15810.0,1,0.0,0.0
12.0,255.0,258.0,15810.0,1,0.0,0.0
12.0,258.0,261.0,15810.0,1,0.0,0.0
12.0,261.0,264.0,15810.0,1,0.0,0.0
12.0,264.0,267.0,15810.0,1,0.0,0.0
12.0,267.0,270.0,15810.0,1,0.0,0.0
12.0,270.0,273.0,15810.0,1,0.0,0.0
12.0,273.0,276.0,15810.0,1,0.0,0.0
12.0,276.0,279.0,15810.0,1,0.0,0.0
12.0,279.0,282.0,15810.0,1,0.0,0.0
12.0,282.0,285.0,15810.0,1,0.0,0.0
12.0,285.0,288.0,15810.0,1,0.0,0.0
12.0,288.0,291.0,16411.680000000004,1,9.0,50.08127188801988
12.0,291.0,294.0,14350.88666666673,0,14.0,89.09127655192843
12.0,294.0,297.0,9796.0,0,9.0,83.90341039395447
12.0,297.0,300.0,9046.43333333335,0,6.0,60.57030271371601
12.0,300.0,303.0,7673.190000000006,0,5.0,59.50862738524782
12.0,303.0,306.0,6377.5066666666935,0,5.0,71.59867146087522
12.0,306.0,309.0,6180.0,0,3.0,44.33213636565146
12.0,309.0,312.0,6180.0,0,13.0,192.10592425115632
12.0,312.0,315.0,6180.0,0,9.0,132.99640909695438
12.0,315.0,318.0,6355.463333333338,0,9.0,129.3246086258349
12.0,318.0,321.0,6913.0,0,5.0,66.05251042473746
12.0,321.0,324.0,6893.420000000001,0,5.0,66.24012530300055
12.0,324.0,327.0,6891.0,0,9.0,119.27409784054245
12.0,327.0,330.0,6691.336666666662,0,7.0,95.53687674650375
